MAC Address,Timestamp,S1 Signal Strength,Distance to S1,S2 Signal Strength,Distance to S2,Year,Month,Day,Day of the Week,Hour,Minute,X,Y,Device,Area
00:e9:3a:d1:f7:f3,28076255,-58.483870967741936,0.912175416399594,-93.22727272727273,33.3060710199032,2023,05,20,Saturday,10,35,-1.0,-1.0,PC,Zona Estudo
00:e9:3a:d1:f7:f3,28076256,-62.10526315789474,1.013265019902981,-95.0,40.518469200233504,2023,05,20,Saturday,10,36,-1.0,-1.0,PC,Zona Estudo
00:e9:3a:d1:f7:f3,28076257,-62.44444444444444,0.9590308635090599,-95.5,42.239538135223015,2023,05,20,Saturday,10,37,-1.0,-1.0,PC,Zona Estudo
00:e9:3a:d1:f7:f3,28076258,-60.42857142857143,0.7886403812383219,-94.0,35.71674682851676,2023,05,20,Saturday,10,38,-1.0,-1.0,PC,Zona Estudo
00:e9:3a:d1:f7:f3,28076259,-63.0,1.0513548740523868,-93.0,32.1841193240431,2023,05,20,Saturday,10,39,-1.0,-1.0,PC,Zona Estudo
00:e9:3a:d1:f7:f3,28076260,-62.5,0.9755170581206147,-93.33333333333333,32.90896404224171,2023,05,20,Saturday,10,40,-1.0,-1.0,PC,Zona Estudo
00:e9:3a:d1:f7:f3,28076262,-66.57142857142857,4.433552841842612,-94.0,35.638277526797026,2023,05,20,Saturday,10,42,-1.0,-1.0,PC,Zona Estudo
00:e9:3a:d1:f7:f3,28076264,-62.92307692307692,1.122494873326533,-95.6,42.72530235119767,2023,05,20,Saturday,10,44,-1.0,-1.0,PC,Zona Estudo
00:e9:3a:d1:f7:f3,28076337,-64.0,1.1570204392252876,-95.0,39.81071705534973,2023,05,20,Saturday,11,57,-1.0,-1.0,PC,Zona Estudo
00:ef:25:c3:34:2f,28076393,-88.0,17.78279410038923,-88.0,17.78279410038923,2023,05,20,Saturday,12,53,3.999999999999992,17.32708186674369,PC,Zona Estudo
02:00:00:00:00:00,28075253,-87.5,19.091914656322267,-83.8,11.276668305190455,2023,05,19,Friday,17,53,18.833622323687873,3.129836323672328,PC,Zona Estudo
02:00:00:00:00:00,28076307,-91.0,25.118864315095795,-96.0,44.6683592150963,2023,05,20,Saturday,11,27,-1.0,-1.0,PC,Zona Estudo
02:01:65:c2:c2:aa,28075539,-90.0,22.535743732392298,-94.0,35.48133892335755,2023,05,19,Friday,22,39,-1.0,-1.0,PC,Zona Estudo
02:0c:4c:08:21:5d,28075249,-92.0,28.183829312644534,-92.0,28.183829312644534,2023,05,19,Friday,17,49,3.999999999999847,27.898534633996146,PC,Cabines de Estudo
02:0c:93:68:54:fe,28075133,-88.0,17.86144972489639,-91.66666666666667,27.16217431346162,2023,05,19,Friday,15,53,-1.0,-1.0,PC,Zona Estudo
02:0c:93:68:54:fe,28075134,-89.0,19.9526231496888,-92.25,30.340655820391174,2023,05,19,Friday,15,54,-1.0,-1.0,PC,Zona Estudo
02:0c:93:68:54:fe,28075144,-81.75,10.115574347936008,-80.71428571428571,8.707316030269874,2023,05,19,Friday,16,04,5.656718246101643,8.386082701287995,PC,Zona Estudo
